id,name,categories,rating,coordinates.latitude,coordinates.longitude,location.address1,location.city,location.zip_code,location.country,location.state
vqyK2q3zJ74TIT1-7Bf3Tg,la luna,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}]",4.0,43.25942165323912,-79.87848757635106,306 King Street W,Hamilton,L8P 1B1,CA,ON
752Fv2jKafftvoS3Twkqyg,hambrgr,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",4.5,43.25721,-79.8669,49 King William Street,Hamilton,L8R 1A2,CA,ON
Q4oLgsU62VPR28pBm0vCXw,earth to table : bread bar,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'salad', 'title': 'Salad'}]",4.0,43.25284,-79.88702,258 Locke Street S,Hamilton,L8P 4B9,CA,ON
bHecMQ85o3ayw1t9hRA90g,the french,"[{'alias': 'bistros', 'title': 'Bistros'}, {'alias': 'french', 'title': 'French'}]",4.0,43.25741,-79.86748,37 King William Street,Hamilton,L8R 1A1,CA,ON
9oIPWjU3DvtSdORv6I2toQ,the ship,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.0,43.25215,-79.87,23 Augusta Street,Hamilton,L8N 1P6,CA,ON
dxsrhzpSxY9wDGbZxhIjHQ,the coop,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'poutineries', 'title': 'Poutineries'}]",4.0,43.2591337,-79.8774391,274-274 King Street W,Hamilton,L8P 1J6,CA,ON
h2mI1wBIK1PyaNupaL58gw,the mule,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,43.25726,-79.86713,41 King William Street,Hamilton,L8R 1A2,CA,ON
ouKTL8ajZ2BGPRf33xwGWA,pho nhung,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]",4.5,43.26239,-79.87797,85 Queen St N,Hamilton,L8R 2V5,CA,ON
i8nQA6qFkr3TmSCZ1ukbGQ,electric diner,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",3.5,43.25845,-79.878,96 George Street,Hamilton,L8P 3M8,CA,ON
ZgoVlQmApvjWt-0evoeoGQ,moodys,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'italian', 'title': 'Italian'}]",4.0,43.25821,-79.87853,107 George Street,Hamilton,L8P 1E3,CA,ON
BcOccyfjH_pfu8Z871iSEQ,ark and anchor,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cafes', 'title': 'Cafes'}]",4.5,43.2595,-79.87812,300 King Street W,Hamilton,L8P 1B1,CA,ON
r3mtyebUU9fgPQx-jWIanA,the works,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",4.0,43.2574961574363,-79.8712256690338,2 King Street W,Hamilton,L8P 1A2,CA,ON
oOxuBeVcfyEExUn2d_FO0A,smoke's poutinerie,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'poutineries', 'title': 'Poutineries'}]",3.5,43.25854,-79.87863,112 George Street,Hamilton,L8P 1E3,CA,ON
xwVB61hW9rpyp6wALR4Apg,berkeley north,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]",4.5,43.2574045478956,-79.8677145254958,31 King William Street,Hamilton,L8R 1A1,CA,ON
Fkm6WTO7-auG5V4NtzpvRA,amigos,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'latin', 'title': 'Latin American'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,43.25825,-79.87868,109 George Street,Hamilton,L8P 1E3,CA,ON
EGutBSi1dgdaJoLu-LdsTw,august 8,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'dimsum', 'title': 'Dim Sum'}]",4.0,43.25943,-79.86708,1 Wilson Street,Hamilton,L8R,CA,ON
CH4A4Aa--t0A7bP1VfkMrA,charred chicken,"[{'alias': 'bbq', 'title': 'Barbeque'}]",4.0,43.2627364,-79.8663839,244 James Street N,Hamilton,L8R 2L2,CA,ON
1E7ww2xRfk6GKEw5HRg4qg,papagayo restaurant,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,43.25902,-79.87646,246 King Street W,Hamilton,L8P 1A9,CA,ON
